#TAXONOMY	Kingdom	Phylum	Class	Order	Family 	Genus	Species 
f53599c77b42f58a069415845eae4a6e	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus iners
0dfcc8c06a2e792d466261b30e011612	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus crispatus
c8c246b9d8b0b3e2821b0e6384987d84	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus iners
d9ec7d04c7babde62706eb59b7cf5b0c	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus jensenii
0a4a65fa27514181d94140679673d19d	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus crispatus
6ff6b1bc190890de2412adae600b1e6e	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus crispatus
d5eea2c589381aea49a11d423eeb2fdf	Bacteria	 Actinomycetota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Gardnerella	 Gardnerella vaginalis
a112138136d14cbf62282f5b894e2c4a	Bacteria	 Bacillota_A_368345	 Clostridia_258483	 Lachnospirales	 Lachnospiraceae	 UBA629	 UBA629 sp005465875
312dc4b399e6789dad4d43605c46744f	Bacteria	 Actinomycetota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Gardnerella	 Gardnerella vaginalis
31a375ac2f7b2edae6f67d2a058fc6f7	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus iners
d25e5cb0dda8ac55d92735deb5262827	Bacteria	 Bacillota_A_368345	 Clostridia_258483	 Lachnospirales	 Lachnospiraceae	 UBA629	 UBA629 sp005465875
207133e26d668f901b4ffdff2653a6fd	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus crispatus
c5571d322c541745043eec91de5d73d9	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus paragasseri
a117a2417ab6e4674609fe4605b13630	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus paragasseri
85eadce07ee559aa0d6a35fdfce6f51a	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Prevotella	 Prevotella buccalis
e012889692e501d340ad400588a055e4	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus crispatus
a54f5010275d5bbb323e6c99d2785315	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus mulieris
ebf0ab6ecb2e02c12f591bd59604d957	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus iners
091c749696b9b571fe5b59a746df522f	Bacteria	 Actinomycetota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Gardnerella	 Gardnerella vaginalis
8c6ebe5f84607d69e16ce9bb3e670018	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Streptococcaceae	 Streptococcus	 Streptococcus pyogenes
9f8e745ce3f7d381cef774ea466be496	Bacteria	 Actinomycetota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Gardnerella	 Gardnerella vaginalis
4df33516c8f66eeb5734857fa960dd6a	Bacteria	 Bacillota	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus paragasseri
d97fb9109460f918f601a22d1c7615eb	Bacteria	 Actinomycetota	 Actinomycetes	 Actinomycetales	 Bifidobacteriaceae	 Bifidobacterium_388775	 Bifidobacterium_388775 vaginale
78c88a517eb318a2e9825be844c5ab00	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia-Caballeronia-Paraburkholderia	 Unclassified
9e86f88713f9ea23e7a6be11b3b18356	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus jensenii
57ded6fca0b06daa1d61e2d08efabc09	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus iners
c3d05de34be309b1b75069bc070feeb0	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus crispatus
c28a9b1f5df9cc2339a4b5d82bda8b32	Bacteria	 Actinomycetota	 Actinomycetes	 Actinomycetales	 Bifidobacteriaceae	 Bifidobacterium_388775	 Bifidobacterium_388775 vaginale
169a78949f9d78e665cf0d99d0f691a6	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Prevotella	 Prevotella buccalis
e9a9ed0ecc9f5211e2f7a2f8f8f7a245	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus iners
f151ec1205c08ca2ecee90486745cf96	Bacteria	 Actinomycetota	 Actinomycetes	 Actinomycetales	 Bifidobacteriaceae	 Bifidobacterium	 Bifidobacterium vaginale H
dd4cb97124122011ba01d837fc00c3dd	Bacteria	 Bacillota_I	 Bacilli_A	 Mycoplasmatales	 Metamycoplasmataceae	 Metamycoplasma	 Metamycoplasma hominis
5f6f43d30513eb599af51cb670724911	Bacteria	 Actinomycetota	 Actinomycetes	 Actinomycetales	 Bifidobacteriaceae	 Bifidobacterium_388775	 Bifidobacterium_388775 vaginale
b1db52d9e856857897069417ac693377	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus crispatus
4c8734ceec9df4fbcc18c7e684b6cd25	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus iners
c50f3580a3b5baa2e75e0d33f18d4b9c	Bacteria	 Bacillota_C	 Negativicutes	 Veillonellales	 Megasphaeraceae	 Megasphaera_C	 Megasphaera_C lornae
d454cbd271bfa134a416c065fc31b8e2	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus iners
2fde8e759911926e6fe73a50ad68355b	Bacteria	 Bacillota_A_368345	 Clostridia_258483	 Lachnospirales	 Lachnospiraceae	 UBA629	 UBA629 sp005465875
