task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
17	d0/39018a	28664	pb16S:QC_fastq (16)	CACHED	0	2025-02-25 14:40:15.483	2.6s	502ms	251.7%	39.1 MB	1.4 GB	29 MB	11.7 MB
6	a7/1e7796	27760	pb16S:QC_fastq (5)	CACHED	0	2025-02-25 14:40:09.434	3.3s	855ms	268.6%	34.5 MB	1.4 GB	50.2 MB	19.7 MB
12	01/c47c54	29132	pb16S:QC_fastq (11)	CACHED	0	2025-02-25 14:40:18.100	2.6s	502ms	245.4%	33.8 MB	1.4 GB	29.2 MB	11 MB
1	f1/bdf0a3	6208	pb16S:write_log	CACHED	0	2025-02-25 17:07:16.802	3.3s	4ms	165.5%	0	0	71.3 KB	2.3 KB
16	58/b3074f	30500	pb16S:QC_fastq (15)	CACHED	0	2025-02-25 14:40:26.037	3.2s	1.1s	258.6%	34.2 MB	1.4 GB	61.5 MB	25 MB
4	22/29eccc	29593	pb16S:QC_fastq (3)	CACHED	0	2025-02-25 14:40:20.723	2.4s	264ms	240.5%	33.4 MB	1.4 GB	12.2 MB	4.9 MB
11	ab/0c501c	25906	pb16S:QC_fastq (10)	CACHED	0	2025-02-25 14:39:57.266	2.5s	404ms	238.3%	33.9 MB	1.4 GB	21.8 MB	8.5 MB
9	ee/367d92	31842	pb16S:QC_fastq (8)	CACHED	0	2025-02-25 14:40:34.980	3.1s	901ms	257.0%	34.9 MB	1.4 GB	57.3 MB	22.4 MB
7	ca/55095f	32299	pb16S:QC_fastq (6)	CACHED	0	2025-02-25 14:40:38.054	2.3s	304ms	232.7%	34 MB	1.4 GB	15 MB	6 MB
14	cd/af2d74	27309	pb16S:QC_fastq (13)	CACHED	0	2025-02-25 14:40:05.961	3.5s	769ms	279.6%	35.9 MB	1.4 GB	45.3 MB	18.5 MB
15	44/17c65d	33194	pb16S:QC_fastq (14)	CACHED	0	2025-02-25 14:40:42.955	2.6s	543ms	261.2%	33.8 MB	1.4 GB	32.8 MB	13.4 MB
2	88/b5d606	30052	pb16S:QC_fastq (1)	CACHED	0	2025-02-25 14:40:23.124	2.9s	723ms	238.9%	33.6 MB	1.4 GB	41.8 MB	15.6 MB
13	52/f7a80d	31397	pb16S:QC_fastq (12)	CACHED	0	2025-02-25 14:40:32.149	2.8s	554ms	231.6%	33.8 MB	1.4 GB	29.7 MB	11.2 MB
10	45/d5993b	26858	pb16S:QC_fastq (9)	CACHED	0	2025-02-25 14:40:02.615	3.3s	1s	275.3%	34.9 MB	1.4 GB	58.9 MB	23.1 MB
5	e1/4a7d90	32749	pb16S:QC_fastq (4)	CACHED	0	2025-02-25 14:40:40.394	2.6s	543ms	244.3%	34.2 MB	1.4 GB	31.3 MB	12.6 MB
3	b8/94148c	26360	pb16S:QC_fastq (2)	CACHED	0	2025-02-25 14:39:59.795	2.8s	405ms	263.8%	35.3 MB	1.4 GB	21.4 MB	8.8 MB
8	61/064c2c	30951	pb16S:QC_fastq (7)	CACHED	0	2025-02-25 14:40:29.285	2.9s	694ms	254.6%	33.4 MB	1.4 GB	38.9 MB	15.7 MB
22	ef/c2fa05	51322	pb16S:cutadapt (8)	CACHED	0	2025-02-25 14:44:08.971	3.5s	535ms	435.0%	20.5 MB	40.6 MB	118.5 MB	114.9 MB
32	04/d57a84	50449	pb16S:cutadapt (16)	CACHED	0	2025-02-25 14:44:01.821	3.7s	709ms	577.0%	20 MB	40.3 MB	155.3 MB	152.4 MB
26	e9/6cc697	49576	pb16S:cutadapt (15)	CACHED	0	2025-02-25 14:43:54.534	3.4s	432ms	336.2%	20 MB	40.4 MB	73.7 MB	71 MB
31	a5/a7b2cd	52641	pb16S:cutadapt (3)	CACHED	0	2025-02-25 14:44:19.712	3.9s	910ms	519.2%	19.8 MB	40.3 MB	268.2 MB	264.3 MB
24	6c/26a63a	48703	pb16S:cutadapt (14)	CACHED	0	2025-02-25 14:43:47.250	3.9s	886ms	529.6%	20.4 MB	40.6 MB	261.2 MB	257.3 MB
19	ba/d3fcba	46941	pb16S:cutadapt (5)	CACHED	0	2025-02-25 14:43:32.302	3.8s	768ms	523.9%	19.8 MB	40.3 MB	207.4 MB	203.3 MB
