file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	Q20(%)	Q30(%)	sample
NPT03.hifi_reads.fastq.gz	FASTQ	DNA	23186	35142515	313	1515.7	4645	1489.0	1521.0	1532.0	0	1524	99.06	97.93	NPT03
NPT05.hifi_reads.fastq.gz	FASTQ	DNA	19210	29517933	1314	1536.6	3130	1532.0	1532.0	1532.0	0	1532	99.32	98.45	NPT05
NPT06.hifi_reads.fastq.gz	FASTQ	DNA	9702	14849299	1441	1530.5	3094	1524.0	1525.0	1525.0	0	1525	99.25	98.30	NPT06
NPT07.hifi_reads.fastq.gz	FASTQ	DNA	24700	37742791	316	1528.0	4544	1525.0	1525.0	1526.0	0	1525	99.15	98.10	NPT07
NPT09.hifi_reads.fastq.gz	FASTQ	DNA	33279	49857090	1102	1498.2	3932	1491.0	1492.0	1493.0	0	1492	99.10	98.00	NPT09
NPT10.hifi_reads.fastq.gz	FASTQ	DNA	11467	17638787	1426	1538.2	4634	1531.0	1532.0	1532.0	0	1532	99.24	98.28	NPT10
NPT11.hifi_reads.fastq.gz	FASTQ	DNA	29665	45351025	315	1528.8	3711	1524.0	1525.0	1526.0	0	1525	99.11	98.01	NPT11
NPT12.hifi_reads.fastq.gz	FASTQ	DNA	41522	63572195	546	1531.0	4541	1524.0	1525.0	1532.0	0	1525	99.13	98.05	NPT12
NPT13.hifi_reads.fastq.gz	FASTQ	DNA	42553	65205135	1336	1532.3	3413	1525.0	1531.0	1532.0	0	1531	99.12	98.03	NPT13
NPT14.hifi_reads.fastq.gz	FASTQ	DNA	15101	23180009	925	1535.0	3104	1524.0	1528.0	1532.0	0	1529	99.13	98.02	NPT14
NPT15.hifi_reads.fastq.gz	FASTQ	DNA	18577	28305508	1371	1523.7	4544	1490.0	1532.0	1534.0	0	1532	99.19	98.19	NPT15
NPT17.hifi_reads.fastq.gz	FASTQ	DNA	16330	24516195	1253	1501.3	4623	1486.0	1489.0	1501.0	0	1489	99.16	98.16	NPT17
NPT18.hifi_reads.fastq.gz	FASTQ	DNA	37318	57273070	1368	1534.7	4597	1532.0	1532.0	1533.0	0	1532	99.24	98.26	NPT18
NPT19.hifi_reads.fastq.gz	FASTQ	DNA	27434	42135272	316	1535.9	3667	1532.0	1532.0	1533.0	0	1532	99.25	98.28	NPT19
NPT20.hifi_reads.fastq.gz	FASTQ	DNA	49472	75891820	1361	1534.0	6046	1532.0	1532.0	1533.0	0	1532	99.19	98.15	NPT20
NPT22.hifi_reads.fastq.gz	FASTQ	DNA	22513	34577212	1121	1535.9	4593	1532.0	1532.0	1533.0	0	1532	99.17	98.11	NPT22
NPT23.hifi_reads.fastq.gz	FASTQ	DNA	10457	15999640	1427	1530.0	4587	1525.0	1525.0	1526.0	0	1525	99.20	98.19	NPT23
NPT24.hifi_reads.fastq.gz	FASTQ	DNA	25956	39661990	1271	1528.0	3140	1525.0	1525.0	1526.0	0	1525	99.21	98.21	NPT24
