sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
NPT03	22991	17688	76.93	14966	12211	53.11
NPT05	19048	16062	84.32	16029	16007	84.04
NPT06	9621	7919	82.31	7877	7665	79.67
NPT07	24449	19569	80.04	19492	19432	79.48
NPT09	32973	25952	78.71	22960	21533	65.3
NPT10	11365	9403	82.74	9355	9354	82.31
NPT11	29386	23113	78.65	23077	21811	74.22
NPT12	41122	32621	79.33	32404	25964	63.14
NPT13	42175	33299	78.95	32487	24014	56.94
NPT14	14980	11849	79.1	11633	7847	52.38
NPT15	18405	14903	80.97	14200	12350	67.1
NPT17	16205	12952	79.93	10731	9358	57.75
NPT18	36996	30470	82.36	29893	29842	80.66
NPT19	27185	22431	82.51	22384	22383	82.34
NPT20	49076	39797	81.09	39766	39766	81.03
NPT22	22318	17887	80.15	17814	17105	76.64
NPT23	10378	8382	80.77	8342	8246	79.46
NPT24	25724	20924	81.34	20875	20873	81.14
NPT25	20416	16145	79.08	15512	12222	59.86
PT01	15812	12135	76.75	9876	8356	52.85
PT02	13918	11113	79.85	10975	10134	72.81
PT03	17650	13870	78.58	13206	10387	58.85
PT04	12846	10276	79.99	10162	9376	72.99
PT05	9259	7185	77.6	6130	5044	54.48
PT06	13151	10778	81.96	10630	9472	72.02
PT07	13072	10620	81.24	10258	9519	72.82
PT08	11746	9090	77.39	8101	7325	62.36
PT09	21144	16938	80.11	16653	16524	78.15
PT10	11867	9280	78.2	7106	6498	54.76
PT11	11665	8984	77.02	6781	5897	50.55
PT12	10849	8879	81.84	8649	8134	74.97
PT13	17869	14020	78.46	12647	11084	62.03
PT14	18090	14688	81.19	14534	14504	80.18
PT15	11192	8609	76.92	8174	5902	52.73
PT16	10546	8241	78.14	6909	6113	57.97
PT17	41244	31899	77.34	27526	22676	54.98
PT18	14575	11984	82.22	11870	10775	73.93
PT19	35876	27735	77.31	23902	20388	56.83
PT20	23633	18283	77.36	16534	13603	57.56
PT21	18595	14847	79.84	12417	10810	58.13
PT22	37424	30024	80.23	25823	21565	57.62
PT23	10995	9074	82.53	8599	8459	76.93
PT24	1562	1281	82.01	1249	1249	79.96
PT25	9248	7703	83.29	7610	7590	82.07
