#NAME,NPT03,NPT05,NPT06,NPT07,NPT09,NPT10,NPT11,NPT12,NPT13,NPT14,NPT15,NPT17,NPT18,NPT19,NPT20,NPT22,NPT23,NPT24,NPT25,PT01,PT02,PT03,PT04,PT05,PT06,PT07,PT08,PT09,PT10,PT11,PT12,PT13,PT14,PT15,PT16,PT17,PT18,PT19,PT20,PT21,PT22,PT23,PT24,PT25
f53599c77b42f58a069415845eae4a6e,3681,15846,14,5,24,5464,5,4017,14743,3413,302,234,24394,18852,23567,11238,15,39,3424,23,0,447,11,249,5774,7605,753,2729,3,203,670,5,10248,21,1331,5947,1046,340,6260,133,174,214,14,533
0dfcc8c06a2e792d466261b30e011612,0,0,6,11354,0,0,1894,0,0,0,24,0,0,0,0,19,1558,10536,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,311,0,0,0,0,54,1,0,0,108,16
c8c246b9d8b0b3e2821b0e6384987d84,0,0,0,0,0,0,0,4627,0,0,6,0,9,44,13766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d9ec7d04c7babde62706eb59b7cf5b0c,0,0,43,0,0,0,0,15519,2,0,0,0,0,0,1,0,0,1,74,0,0,28,0,0,1662,0,0,0,0,0,0,0,1,0,0,0,0,0,336,2,0,0,0,0
0a4a65fa27514181d94140679673d19d,0,0,131,7827,0,0,542,0,2,0,0,0,0,0,0,4,71,4812,2445,0,0,15,0,2,0,0,4,0,0,0,0,3,5,602,3,0,1,0,34,0,0,0,67,0
6ff6b1bc190890de2412adae600b1e6e,0,0,5726,0,0,1,6345,0,0,3,0,0,0,0,0,5,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,2,0,0
d5eea2c589381aea49a11d423eeb2fdf,1280,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,7,0,0,0,0,0,0,0,0,0,0,9778,2,40,13,0,0,0,0,658
a112138136d14cbf62282f5b894e2c4a,0,0,0,0,9191,2,0,0,0,4,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,2,1589,0,334,455,0,0,0,0,5,0,1,0,0,0,0,0,0,0
312dc4b399e6789dad4d43605c46744f,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,10517,0,0,1,0,0,0
31a375ac2f7b2edae6f67d2a058fc6f7,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
d25e5cb0dda8ac55d92735deb5262827,0,0,0,0,5281,0,0,0,0,0,5,2,81,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,0,1450,894,0,0,0,2,4,0,1,0,0,0,0,0,0,0
207133e26d668f901b4ffdff2653a6fd,0,0,0,0,0,0,1319,0,0,0,11,0,1,0,0,17,1882,5191,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0
c5571d322c541745043eec91de5d73d9,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3096,2685,2544,0,0,1,0,0,0,6,2,0,0,0,0,0,0,0,3,0,0,0,0,0
a117a2417ab6e4674609fe4605b13630,4,0,0,0,1,0,8,0,0,2,0,3,0,0,0,0,0,0,0,0,3056,2567,2476,1,0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0
85eadce07ee559aa0d6a35fdfce6f51a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2495,4167,1057,0,0
e012889692e501d340ad400588a055e4,0,3,0,0,0,0,7428,0,0,6,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0
a54f5010275d5bbb323e6c99d2785315,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7454,0,30,0,0,0,0,0
ebf0ab6ecb2e02c12f591bd59604d957,0,0,0,0,0,0,1,0,2670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4587,0,0,0,0,0,0,0,0,0,0,0,0,0
091c749696b9b571fe5b59a746df522f,0,0,0,0,8,1,0,7,0,0,164,0,3,0,3,0,0,0,0,1646,693,719,729,0,0,2,8,151,272,1449,1,588,0,0,305,2,0,20,0,27,29,9,0,0
8c6ebe5f84607d69e16ce9bb3e670018,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,5703
9f8e745ce3f7d381cef774ea466be496,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1769,585,567,617,0,0,0,6,161,0,0,1,0,0,0,2138,4,0,0,0,0,0,0,9,0
4df33516c8f66eeb5734857fa960dd6a,0,16,0,0,0,0,0,0,0,0,5736,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0
d97fb9109460f918f601a22d1c7615eb,444,1,1,0,42,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,106,0,247,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,1306,2398,679,0,0
78c88a517eb318a2e9825be844c5ab00,0,0,0,0,0,5,0,0,0,0,0,0,17,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5143,0,0,0,1,0,0,12,37,1,1,0,0
9e86f88713f9ea23e7a6be11b3b18356,0,0,0,0,0,0,0,0,3114,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1433,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
57ded6fca0b06daa1d61e2d08efabc09,0,0,0,0,0,0,0,0,0,0,0,0,5003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c3d05de34be309b1b75069bc070feeb0,0,0,0,0,0,0,2884,0,0,0,7,0,2,0,0,12,1430,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
c28a9b1f5df9cc2339a4b5d82bda8b32,50,0,0,0,0,0,3,0,0,0,9,166,0,0,0,0,0,0,0,324,927,948,1175,15,0,0,0,42,0,2,4,12,2,0,0,164,0,13,593,27,38,3,0,22
169a78949f9d78e665cf0d99d0f691a6,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,1049,1885,493,0,0
e9a9ed0ecc9f5211e2f7a2f8f8f7a245,0,0,0,0,0,0,0,0,0,0,0,0,0,3446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f151ec1205c08ca2ecee90486745cf96,0,0,0,0,73,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,748,1717,464,0,0
dd4cb97124122011ba01d837fc00c3dd,11,0,0,0,3,0,0,0,0,0,0,17,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,6,0,0,0,467,0,26,0,0,0,483,1159,861,0,3
5f6f43d30513eb599af51cb670724911,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,770,750,1042,0,0,0,0,0,0,1,2,0,0,0,0,0,0,18,175,0,0,0,0,0
b1db52d9e856857897069417ac693377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,2707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4c8734ceec9df4fbcc18c7e684b6cd25,0,0,0,0,0,2704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c50f3580a3b5baa2e75e0d33f18d4b9c,397,0,0,0,176,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1175,0,0,212,0,10,244,0,0,0,1,0,23,1,382,0,0,0,37,0,0
d454cbd271bfa134a416c065fc31b8e2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2fde8e759911926e6fe73a50ad68355b,0,0,0,0,2425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95a56c726176bab54486ae68a6b98f2f,0,0,0,0,0,2,0,0,0,0,0,2,11,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2277,2,0,0,0,0,0,4,30,0,5,0,0
d28200bda3b88395e3db8240b272fb74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2331,0,0,0,0,0,0,0,0,0,0,0
47c39bde0d36448334dde6d79a38bb8c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10cab15895d5026aa55acee0a3f08855,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,859,740,640,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dc4f575c72bf07c299f65ca4c703d2ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2227,0,0,0,0,0,0,0,0,0,0,0,0,0
9af6088316931d8a8ab0cedbff9723bc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2177,0,0,0,0,0,0,0
e02e24ead613ba53e4121c4ce4e3b322,0,0,0,0,0,0,0,0,0,0,6,1994,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,102,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d55279827bf272773e25de18be1632ef,0,0,0,0,0,0,0,0,259,1811,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f46a6f66852fec775ba99dd092a243d3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49b21715b7480cca0cbefc490af0f8f1,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
f3999485d59e1be14d8014d5eba91f2a,399,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1142,23,0,0,0,2,0,190,0,0,0,0,0,0,0,18
