display_taxon	NPT03	NPT05	NPT06	NPT07	NPT09	NPT10	NPT11	NPT12	NPT13	NPT14	NPT15	NPT17	NPT18	NPT19	NPT20	NPT22	NPT23	NPT24	NPT25	PT01	PT02	PT03	PT04	PT05	PT06	PT07	PT08	PT09	PT10	PT11	PT12	PT13	PT14	PT15	PT16	PT17	PT18	PT19	PT20	PT21	PT22	PT23	PT24	PT25
Aerococcus christensenii	0.7721373418761295	0.0	0.0	0.0	0.03254905607737375	0.0	0.0	0.0	0.0	0.0	0.12156576707999028	0.4175141847767905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17983455221196498	0.0	0.06747638326585695	0.0	1.9077901430842605	0.0	0.0	0.0	0.0	0.0	0.2383384405856316	0.0	0.1716815758561489	0.0	0.0	0.0	0.6804223920823577	0.0	0.4275814616405367	0.0	3.752779836916234	4.360937137555092	5.7230696464467306	0.0	0.4616196254286468
Anaerococcus hydrogenalis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.052854122621564484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerococcus sp900258475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19027484143763213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerococcus tetradius	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.049138207900653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0827357970215113	0.0	0.27873421872438103	0.0	0.0	0.1720155305450435	0.0	0.07412898443291327	0.13917884481558804	0.09459619250325174	0.0	0.0
Arcanobacterium_A_386370 sp000758825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.991475166790215	0.918580375782881	0.7922431122147333	0.0	0.0
Atopobium deltae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046330615270570794	0.0	0.0	0.0	0.0
Bacilli (class)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18035743564518775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria (kingdom)	0.0	0.0	0.0	0.0	0.023249325769552683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05301992665576813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Berryella sp001552935	0.09035649745358962	0.0	0.0	0.0	0.046498651539105366	0.0	0.0	0.0	0.0	0.0	0.0	0.18199336259501125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28773528353914396	0.0	0.0	0.0	0.01987281399046105	0.0	0.0	0.0	0.030270008475602374	0.015453562046051616	0.10214504596527069	0.0	0.0	0.006894649751792609	0.0	0.3443187407771766	0.01767330888525604	0.0	0.0786356711063056	0.0	0.07412898443291327	0.13453954998840176	0.23649048125812935	0.0	0.03956739646531258
Bifidobacterium vaginale	0.5832101199277148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6102130392891554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35966910442392996	0.3257650542941757	0.6265664160401002	0.39483512965531964	0.0	0.0	0.0	0.0	0.01210800339024095	0.030907124092103232	0.0	0.0	0.1987891930965935	0.0	0.0	0.0	0.4595060310166571	0.0	0.0	0.08097762073027091	0.0	0.0	0.0	0.0	0.0
